Adjetivo	Azul	Rojo	Amarillo	Blanco	Gris	Rosado	Castano	Violeta	Negro	Naranja	Verde
acido           	0	0	12	0	0	0	0	0	0	1	1
agresivo        	0	3	0	0	0	0	0	1	0	1	0
alegre          	1	1	1	0	0	1	0	1	0	4	1
angustiante     	0	4	1	0	0	0	0	1	2	0	0
ardiente        	0	6	1	0	0	0	0	0	0	2	0
armonioso       	0	1	0	0	0	0	3	0	0	0	0
asiático        	0	0	3	0	0	0	0	0	0	0	0
atractivo       	1	0	4	0	0	0	0	0	4	4	0
avejentado      	0	0	0	0	4	0	0	6	0	0	0
azucarado       	0	0	1	0	0	14	0	0	0	0	0
brillante       	0	0	0	0	0	0	0	0	0	8	0
brumoso         	0	0	0	0	7	0	2	0	1	0	0
celeste         	17	0	1	6	0	0	0	0	0	0	0
claro           	0	0	0	2	5	0	4	0	0	0	3
cálido          	0	3	1	0	0	0	6	1	0	6	0
calma           	12	0	0	0	0	3	4	0	0	1	8
campestre       	0	0	0	0	0	0	0	0	0	1	9
colorado        	0	1	0	0	0	0	0	2	1	3	0
cómico          	0	0	0	0	0	0	0	0	0	2	1
crudo           	0	2	2	0	0	0	0	0	0	0	0
decorativo      	0	0	0	1	1	0	0	2	0	3	0
dinámico        	0	1	0	0	0	0	0	0	0	7	0
discreto        	0	0	0	0	0	0	1	3	0	0	0
dulce           	1	0	0	6	2	2	1	3	0	2	0
duro            	0	0	0	0	0	0	3	2	0	0	2
eclesiástico    	0	0	3	0	0	0	0	11	0	0	0
enervante       	0	2	0	0	0	1	0	0	0	0	0
enfermizo       	0	2	1	0	0	0	0	0	0	0	0
equilibrado     	6	0	0	0	0	0	3	0	0	0	0
extendido       	3	0	1	0	0	0	0	1	0	0	0
femenino        	0	0	0	0	0	0	0	0	0	3	0
feo             	0	0	1	0	0	1	3	1	0	0	1
floreciente     	0	2	7	1	0	0	0	1	0	0	0
florido         	0	0	1	0	0	3	0	0	0	0	0
franco          	2	2	0	1	0	0	0	0	0	0	8
frágil          	0	0	0	0	0	6	0	0	0	0	2
frío            	2	0	0	3	2	0	1	0	0	0	5
frutado         	0	1	0	0	0	0	0	0	0	15	0
helado          	0	0	0	0	0	0	6	0	0	0	0
insignificante  	0	0	0	0	0	12	6	0	0	0	0
infantil        	0	0	1	0	3	13	0	0	0	0	5
inmaculado      	0	0	0	9	0	0	0	0	0	0	0
inestable       	0	0	2	1	6	0	3	0	0	0	0
invernal        	0	0	0	0	2	0	2	0	0	0	0
jugoso          	0	0	0	0	0	0	0	0	0	7	0
lejano          	5	0	0	0	0	0	0	0	0	0	0
limpio          	2	0	0	5	0	1	0	0	0	0	0
liso            	0	0	0	2	5	0	2	0	0	0	0
liviano         	2	0	1	0	0	4	0	0	0	1	0
límpido         	4	0	0	4	0	0	0	0	0	0	0
luminoso        	3	1	22	0	0	0	0	0	0	8	1
masculino       	0	0	0	0	0	0	6	0	0	0	0
mecánico        	0	0	0	0	0	0	0	0	0	8	0
misterioso      	0	0	0	2	1	0	0	4	5	0	0
mortal          	0	2	0	10	1	0	0	7	15	0	0
natural         	0	0	0	0	0	0	14	0	0	0	20
nevado          	0	0	0	6	0	0	0	0	0	0	0
otoñal          	0	0	0	0	0	0	4	0	0	0	0
pálido          	0	0	0	3	0	8	0	0	0	0	0
pasional        	0	4	0	0	0	0	0	0	0	1	0
patriótico      	3	0	0	0	0	0	0	0	0	0	0
perdido         	1	0	1	0	0	0	0	2	3	0	5
perfumado       	0	0	1	1	0	5	0	4	0	0	0
profundo        	0	0	0	0	0	0	1	5	7	0	0
primaveral      	1	0	0	0	0	1	0	0	0	1	10
puro            	2	0	0	22	0	0	0	0	0	0	0
quemante        	0	4	0	0	0	0	0	0	0	0	0
redondeado      	0	0	0	0	0	0	1	0	0	4	0
refinado        	0	0	0	0	0	1	1	2	3	0	0
religioso       	0	0	0	0	0	0	0	14	0	0	0
reposado        	12	0	0	0	0	0	0	0	0	0	7
revolucionario  	0	3	0	0	0	0	0	0	0	0	0
romántico       	2	0	0	0	0	6	0	0	0	0	0
sanguíneo       	0	20	0	0	0	0	0	0	0	10	0
severo          	0	0	0	0	0	0	1	5	6	0	0
silencioso      	0	0	0	0	0	0	0	0	4	0	0
siniestro       	0	0	0	0	2	0	1	0	9	0	0
sobrio          	0	0	0	0	3	0	0	1	4	0	0
soleado         	0	0	7	0	0	0	0	0	0	0	0
sombrío         	2	0	0	0	7	0	6	1	9	0	1
sonoro          	0	0	3	0	0	0	2	0	0	0	0
sonriente       	0	0	9	0	2	0	0	0	0	0	0
sucio           	0	0	2	0	12	3	6	0	0	0	0
tonto           	0	0	0	1	3	5	0	0	0	0	0
triste          	0	0	0	0	24	0	6	8	22	0	0
vacío           	0	0	6	8	8	5	1	3	4	0	0
violento        	0	17	0	0	0	0	0	8	0	2	0
vital           	0	18	5	0	0	0	0	0	0	5	0
vividor         	1	0	0	0	0	1	0	0	0	0	6
